Phone_Name,Price_Details,Star,Reviews,Ratings
,,,,
"Apple iPhone SE (Space Grey, 32 GB)","17,999",4.5,"7,774 Reviews","57,308 Ratings"
,,,,
"Apple iPhone SE (Rose Gold, 32 GB)","17,999",4.5,"7,774 Reviews","57,308 Ratings"
,,,,
"Apple iPhone SE (Gold, 32 GB)","17,999",4.5," 7,774 Reviews","57,308 Ratings"
,,,,
"Apple iPhone SE (Silver, 32 GB)","17,999",4.5,654 Reviews,"5,113 Ratings"
,,,,
"Apple iPhone 6s Plus (Rose Gold, 32 GB)","34,499",4.4, 419 Reviews,"2,999 Ratings"
,,,,
"Apple iPhone 6s (Rose Gold, 32 GB)","29,499",4.4," 1,326 Reviews","12,966 Ratings"
,,,,
"Apple iPhone 6s Plus (Space Grey, 32 GB)","34,499",4.5,390 Reviews,"2,961 Ratings"
,,,,
"Apple iPhone 7 (Black, 32 GB)","39,900",4.5," 2,925 Reviews","25,213 Ratings"
,,,,
"Apple iPhone 6 (Space Grey, 32 GB)","23,999",4.4," 6,224 Reviews","55,414 Ratings"
,,,,
"Apple iPhone 6 (Gold, 32 GB)","23,999",4.4," 6,224 Reviews","55,414 Ratings"
,,,,
"Apple iPhone 6s Plus (Gold, 32 GB)","34,499",4.4,400 Reviews,"2,846 Ratings"
,,,,
"Apple iPhone 6s (Space Grey, 32 GB)","29,499",4.5,"2,159 Reviews","20,636 Ratings"
,,,,
"Apple iPhone 7 (Rose Gold, 32 GB)","39,900",4.5, 942 Reviews,"7,585 Ratings"
,,,,
"Apple iPhone 6s (Gold, 32 GB)","29,499",4.4," 1,435 Reviews","12,837 Ratings"
,,,,
"Apple iPhone XS Max (Space Grey, 256 GB)","1,24,900",4.7, 105 Reviews,758 Ratings
,,,,
"Apple iPhone 7 (Gold, 32 GB)","39,900",4.5,833 Reviews,"6,359 Ratings"
,,,,
"Apple iPhone 6s (Silver, 32 GB)","29,499",4.4,554 Reviews,"4,200 Ratings"
,,,,
"Apple iPhone 8 (Silver, 64 GB)","58,999",4.5,218 Reviews,"2,295 Ratings"
,,,,
"Apple iPhone XS Max (Silver, 256 GB)","1,24,900",4.7,105 Reviews,758 Ratings
,,,,
"Apple iPhone 6s Plus (Silver, 32 GB)","34,499",4.4,127 Reviews,"1,010 Ratings"
,,,,
"Apple iPhone XR (Black, 64 GB)","76,900",4.8,15 Reviews,96 Ratings
,,,,
"Apple iPhone XS (Space Grey, 64 GB)","99,900",4.6, 65 Reviews,450 Ratings
,,,,
"Apple iPhone 7 (Black, 128 GB)","52,490",4.6 â˜…,459 Reviews,"2,817 Ratings"
,,,,
"Apple iPhone 7 (Rose Gold, 128 GB)","49,999",4.6,132 Reviews,855 Ratings
